"provincias_vec","wave_vec","correlation_vec_temp","p_value_vec_temp","correlation_vec_wind","p_value_vec_wind","correlation_vec_prec","p_value_vec_prec"
"coruña","fourth",-0.340791712535029,0.000350640221285945,0.00996452666153285,0.919251057267263,0.144506698727696,0.139430249859543
"cuenca","fourth",-0.0882355540341678,0.368426206264177,0.0636998034322104,0.516524038050425,0.312851449965113,0.00109393913282478
"gipuzkoa","fourth",-0.289740446521848,0.00259028276269203,0.0952383129995433,0.331487587849885,-0.0560789431664204,0.568018722079912
"girona","fourth",-0.479706349385213,2.24613591049713e-07,-0.0374491775778328,0.704480378190708,0.099735830753312,0.311403679817319
"granada","fourth",-0.066925349382908,0.503921403549447,0.0691071771693662,0.490085933789132,0.0615509932527058,0.538847779575529
"guadalajara","fourth",-0.488440129333316,1.08639313383304e-07,-0.0698798032299482,0.476590567977439,0.111117326529799,0.256805460255194
"huelva","fourth",0.465005457643672,5.8053085768759e-07,-0.186047078363437,0.0574042181009291,0.117947489430205,0.230791487420904
"huesca","fourth",-0.166044991444878,0.0953347859830864,-0.155813290693431,0.117862181231463,0.291781687165883,0.00292447664074232
"jaen","fourth",0.403407264631909,1.98115023332125e-05,0.117613983766413,0.232122040844686,0.211514057767009,0.030311269386338
"laRioja","fourth",0.132570719766987,0.17761235571325,0.0431865127501571,0.661794485953992,0.10804241015177,0.272611806543006
"lasPalmas","fourth",-0.672570288740713,5.34003693043118e-15,-0.301517841061494,0.00186800760347093,0.0241231907608643,0.807950175797462
"leon","fourth",0.154304878738284,0.284652071456839,-0.0757321062126013,0.601173267821304,0.0930324850391144,0.52048608044851
"lleida","fourth",-0.704581816995733,3.52572936822384e-17,-0.190258335464712,0.0507619853128743,0.191075236506321,0.049758794606662
"lugo","fourth",0.138937309870775,0.155495498542774,-0.0598741954387397,0.542073270954303,0.0895944425611949,0.3610676497339
"madrid","fourth",-0.494017898968397,6.66119618413892e-06,-0.151130723485845,0.195563190606364,-0.0102440936014513,0.93048977295887
